ulasan,makanan,minuman,pelayanan,tempat,harga
"
Rasanya biasa aja. Pelayanannya cepat walaupun pengunjung rame  ",Netral,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
Agam senyum, langganan semenjak zaman SMP, dari yang jualan diatas paret, digusur pemerintah, sampai punya ruko gandeng sendiri, sukses terus Agam dan team  ",Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Rekomendasi tempat nongkrong dengan harga pas dikantong, ciri khas kuliner olahan mie instan dengan bumbu khas...masih ada lagi menu lain: puding telur setengah matang, teh tarik dan lainnya  ",Netral,Netral,Aspek tidak ada,Aspek tidak ada,Positif
"
Tempat'a enak, lumayan nyaman (khusus'a tempat yg baru). Tetapi utk menu tidak ada, jd topping apa yg mau d pilih sdkit merabaÂ², apalagi bagi pengunjung yg pertama x kemari. Bingung pasti.  ",Aspek tidak ada,Aspek tidak ada,Negatif,Positif,Aspek tidak ada
"
Rasa mienya sangat enak, apalagi ditemani dengan telur ayam kampung setengah matang, sangat direkomendasi utk sarapan pagi serta pelayanannya ramah dan tidak membutuhkan waktu yang lama dalam proses penyajiannya  ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
lumayan sihh tp dikit mie nya, ada tempat lain yg harga 10rb mie nya isi dua, rasa yaa sesuai selera  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Teh tarik & indomie Bangladesh, perpaduan ciamik d lidah  ",Positif,Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
pelayanannya jelek banget, mana sombong lagi, pesanan lama datang di tanya baik baik jawabnya ngotot, kalau bedua ga di ladenin,  baru dateng makanannya, saosnya di ambil dari meja buat dikasi ke yg lain padahal saosnya juga ada di meja kosong parah banget sumpah  ",Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada,Aspek tidak ada
"
Mayan enak dan free parkir (tp gatau juga ya apa tk parkirnya tah kemana)Yg jualan rapi bersih, pada pake sepatu kets ðŸ‘�  ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
Pas saya datang, rasanya biasa saja. Spesial bangladeshnya saya kurang paham bedanya dimana, krn berasa kyk indomi klu kita masak kekeringan aja  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Pelayan sangat amat tidak ramah, lama banget, sejam ga dateng dateng, es batu nya dimasukin ke gelas pake tangan , ga ada kata ""maaf"" dan akhirnya kita ga jadi makan  ",Aspek tidak ada,Negatif,Negatif,Aspek tidak ada,Aspek tidak ada
"
Suka teh tariknya, Juru parkirnya amanah.. 3 jam kunci motor saya tetinggal . Dgn sabar bpk juru parkir menunggu saya sadar …Sehat2 bpk juru parkir  ",Aspek tidak ada,Positif,Positif,Aspek tidak ada,Aspek tidak ada
"
Indomie bangladesh nya enak tpi porsinya mungkin bisa lebih banyak lgi. Soalnya mangkoknya kcil bgt  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Pelayanannya sangat cepat dan ramah. Mie Banglades nya enak banget. Tempatnya ramai jika di weekend, tapi tersedia banyak tempat duduk. Harganya juga sangat terjangkau.  ",Positif,Aspek tidak ada,Positif,Positif,Positif
"
Indomie dengan bumbu aceh paling ok di medan.  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"

oke lah, makanan enak....tapi kalau pesan harus 2-3 kali bilang kalau mau pesan baru dilayani ",Positif,Aspek tidak ada,Negatif,Aspek tidak ada,Aspek tidak ada
"
Karena viral akhirnya jauh2 makan Indomie ke tempat ini ... Pelayanannya bagus , tpi rasanya lumayan lah ...  ",Netral,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
tempat menikmati mie Bangladesh dengan telur ayam setengah matang dan minuman khas teh tarik wajib di cicipi jika datang ke kota Medan dan sangat cocok jika datang bersama keluarga.  ",Positif,Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Enak, pelayanan cepat, parkir luas, rempahnya berasa.  ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
Mie Bangladesh : indomie goreng dimasak nyemek pake bumbu rahasia. Buat yg suka makanan yg tema arabian pasti cocok.. overall enak ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
harga dibilang mahal tidak dibilang murah tidak, rasa enak, pelayanan cepat tp kebersihan terutama lantai perlu diperhatikan  ",Positif,Aspek tidak ada,Positif,Negatif,Netral
"
Tempatnya sangat ramai, pelayannya seperti sedang main games Dinner Dash,.Menu favorit disini Mie Bangladesh.  ",Positif,Aspek tidak ada,Positif,Positif,Aspek tidak ada
"
kemari karena penasaran sama mie beceknya.. mie bangladesh... rasanya pedes... enak... keringetan... tempatnya rame.. pelayanannya ramah... cepet juga... jos lah pokoknya..  ",Positif,Aspek tidak ada,Positif,Positif,Aspek tidak ada
"
Kayaknya pas dulu makan rasanya enak, terakhir ke sana malam mungkin karna udah rame banget, buat pesanannya cepet2 kualitas agak nurun. Dapat mie yang terlalu matang jd udh agak lembek, bumbunya jg gak sekuat dan terasa pas dulu makan tapi masih worth it menurutku.  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
untuk pencinta indomie wajib coba ini kalau ke medan, indomie bangladesh dengan bumbu rempah yang nggak terlalu strong di kombinasi sama telur 1/2 matang udah gak ada lawan enaknya  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
salah satu warmindo terkenal di kota Medan. Indomie yg dimasak dengan bumbu rempah2 khas aceh sih sebenernya. Rasanya enak, & tempatnya jg strategis di daerah perkantoran & sekolah elit Medan. Gak heran warung ini sangat2 eksis. Pelayanan cepat & ramah, ada menu tambahan jus,gorengan & sate kerang.  ",Positif,Aspek tidak ada,Positif,Positif,Aspek tidak ada
"
Spesialis indomie. Harga murah, rasa mantap. Selalu rame pas weekend. Selain indomie, ada juga nasi prang, sate kerang, sate telur, puding telur, telur asin, ifumie, dll. Favorit: Mi Bangladesh campur puding telur.  ",Positif,Aspek tidak ada,Aspek tidak ada,Positif,Positif
"
Kesini krna penasaran...trnyata..hemm enak,,tapi ya biasa aja..sangat rame yg mngakibatkan pelayanan agak lambat...tp bisa dimaklumi..kamar mandi untuk pngunjung bersih...hrga standar...  ",Netral,Aspek tidak ada,Negatif,Positif,Netral
"
Rasa indomie nya enaakk banget, apalagi indomie Bangladesh nya.. Nasi kucing, TST, dll ada disini dgn rasa yg maknyuss.. Harga nya bersahabat. Lokasi strategis berada di kawasan bisnis multatuli Medan. Gak nyesel deh kalo singgah kemari.  ",Positif,Aspek tidak ada,Aspek tidak ada,Positif,Positif
"
Untuk pecinta indomi kuah garis keras . Disini tidak terlalu pas. Namun jika pecinta indomi nyemek . Ha ini dia lapaknya. Rasa indomi dengan bumbu khas india serta kuah yang ""becek"" atau dimasak ""nyemek"" kata orang medan , memberikan rasa khas tersendiri. Dengan segelas teh tarik dingin . Pas  mantap rasanya.  ",Positif,Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Tempatnya selalu ramai, dan makanannya memang enak.  ",Positif,Aspek tidak ada,Aspek tidak ada,Positif,Aspek tidak ada
"
Mie bangladesh debezzz. Tp moe kuah nya jga ga kalah debez.  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Warkop agen menyediakan berbagai olahan mie. Mie Bangladesh yang disajikan enak. Terdapat cemilan kue Bugis isi kelapa, kecil tapi enak. Harga mie 13k dan kue Bugis 3k. Disarankan datang ketika siang atau sore agar tidak terlalu ramai. Pelayanan makan cepat.  ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
Anak Medan wajib kesini memang. Tapiii kalo udah malem rame banget sampai sesak rasanya. Cuma buat makan bukan nongkrong soalnya rame yg antri. Soal rasa? Jangan lah ragu kelen.  ",Positif,Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada
"
Endesssss dan bisa request mau telurnya di pisah atau di gabung, mau tambah cabe rajang atau engga ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Menu andalannya indomie bangladesh, indomi nyemek enak bumbunya terasa beda dari mi aceh biasa. Teh tareknya bener2 ditarek enak.  ",Positif,Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Tempat nongkrong paling rame kalau malam. Disini porsi pagi hari lebih banyak dari malam hari, kalau malam hari rekomen pesen jumbo aja. Saran kalau datangnya malam hari, pesen mie kuah atau nyemek, karena biasanya yang goreng sudah di masak dahulu jadi tidak hangat lagi.  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
mie Bangladesh lumayan enak dan murah, teh tariknya juga lezat  ",Positif,Positif,Aspek tidak ada,Aspek tidak ada,Positif
"
Kesini bersama rekan kerja utk pertama kali, pesan mie banglades dan teh tarik ulululuuu endul bgttt, Pelayanannya jg super cepat, pdhl kita rame2..  ",Positif,Positif,Positif,Aspek tidak ada,Aspek tidak ada
"
Enak bngt mie bangladeshnya. Cuma tempatnya rame bngt, kalau kesini sendiri aku insecure :(  ",Positif,Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada
"
Mantaaab kaaaliii baaahh nggak nyesal lah sama rasa makanan dan minumannya yang enak dan maknyuusss!  ",Positif,Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Enak kerangnya... Kurang pedas dan sedikit asin  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
kali pertama cobain mi bangladese nya, ternyata over rated sih, berasa indomi engga, berasa mi aceh jg engga, untung aja harganya murah, jd okelah worth to try but not recommended yah...  ",Negatif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Positif
"
Ini adalah warung yang jualan mie instan terbaek yg pernah gue coba !!! Mie bangladesh nya tuh yaa... Eeeuuhh... Cobain deh.. Enak..gurih manis asin pedesnya pas..bikin anget badan. Cucok lah pokoknya..kalo kesini rame terus.. Karena enak dan murmer shay.. Tetep perhatikan prokes ya  ",Positif,Aspek tidak ada,Aspek tidak ada,Positif,Positif
"
Harga terjangkau, enak, parkir oke ",Positif,Aspek tidak ada,Aspek tidak ada,Positif,Positif
"
Ciri khas dengan indomie bangladeshnya yg mantul ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Bagi penikmat indomie langsung aja kesini. Dijamin bakal balik lagi. ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Makanan enak dan mantap pelayanannya ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
enak..paling suka indomie kuahnya ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Menunya sebagian cocok dengan lidahku, sebagian lagi gak ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
AlhamdulillahEnak mantapSenyum nya juga mantapBaarakallahu fiikum ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"

Ga ada rasa indomi yg enak lg selain agem  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Tempatnya assik untuk ngobrol bersama keluarga.. makanannya enak..  pegawainya ramah.. paling penting...... harganya itu !!!Murah meriah... !!!! Hahahaaa   ",Positif,Aspek tidak ada,Positif,Positif,Positif
"
Indomie Bangladesh terbaik sejauh ini  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Makanan enak cm kedainya Agak Panas dan sehrs nya  di sediakan Kipas Angin supaya tdk bgt terasa panas.  ",Positif,Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada
"
Rame banget, menu favorit ya indomie bangladesh nya.  ",Positif,Aspek tidak ada,Aspek tidak ada,Positif,Aspek tidak ada
"
Masakannya enak..Sayangnya terlalu ramai..Harus antri klo mknnya pas hr sabtu/ libur.  ",Positif,Aspek tidak ada,Negatif,Aspek tidak ada,Aspek tidak ada
"
Ya terkenal mie bangladesnya dengan bumbu khasnya..Tapi rasanya tidak lah enak seperti di awal dahulu..  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Kelebihan: pelayanan cepatKekurangan: mie nya kurang asin ( kurang enak/ biasa aja) , teh tariknya kurang susu  ",Negatif,Negatif,Positif,Aspek tidak ada,Aspek tidak ada
"

Mie Bangladesh yang sangat enak Tapi rasa nya terkadang agak kurang Karna masak nya langsung banyak  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Diajakin temen org medan buat makan di sini? Indomienya mantap, harga oke 20 rb dapet yg jumbo  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Positif
"
Untuk pecinta Kari sangat rekomended. Tapi kurang cocok di lidah saya. Masih Enak Indomie original.  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Penasaran dari Video Ig katanya enak, pas nyoba kita berempat sepakat rasanya biasa aja  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Indomie kuahnya berbeda di warkop manapun,dijamin ga mengecewakan  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Kalau sudah rame pengunjung, panas dan gerah disini.Saran sih, kasih space atau tambah kipas angin  ",Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada
"
Aku bukan kesini.Tapi ke warkop iwan disebelahnya.Warkop iwan paten n ramah.Warkop agem tak ramah.  ",Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada,Aspek tidak ada
"
Still the best indomie in town, sudah keliling medan coba hampir semua warkop & restoran indomie, tetap agam senyum yang paling cocok di lidah. Rempahnya paling pas.  Selalu balik dan balik lagi kesini  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Mampir kesini karena pengen nyobain yang viral. Rasanya biasa aja. Tempatnya juga kotor. Tidak sesuai dengan yang diharapkan  ",Netral,Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada
"
Makan Indomie cepat dan tepat pesanannya..plus manis senyum yg melayani.  ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
Ciri khas dari warkop 1 ini adalah Mie Bangladesh nya yg tidak usah di ragukan lagi rasanya  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Best warmindo in town! Definitely a must try! Pelayanannya juga sangat baik, ramah ramah.  ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
Karyawan si kriting sok sombong. Pdhl cuma pegawai. Kugaji pun bisa 12 x lipat.  ",Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada,Aspek tidak ada
"
Pengunjung nya ramai dan rasa makanan nya enak, pelayanan Ramah ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
Pelayanannya lama, sudah pesan sampai 2 kali tetapi makanan tidak kunjung datang.  ",Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada,Aspek tidak ada
"
Enak mantap la untuk anak jaman sekarang nongkrong.  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Ini kali pertama makan Mie bangladesh dikota Medan..Sangat cocok di lidah orang aceh terutamaBumbu rempahnya sangat terasaRecommended balik kesini ðŸ˜Š  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
mau libur atau ga libur selalu ramai aja tempatnya dan harus nunggu utk kebagian tempatnya .... rasa nya pun mantap ga mahal2 sekali  ",Positif,Aspek tidak ada,Aspek tidak ada,Netral,Positif
"
Makananya mantab2, murah meriah  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Positif
"
Mie bangladeshnya enak..Sate kerangnya rekomen.. ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Bangladesh ya masih seperti yg dulu. Tapi Indomie gorengnya beda. Harga merakyat.  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Positif
"
Selalu full meskipun lg pandemik.  Indomie di sini lbh pedes buat gua, tapi katanya orang-orang sih ga pedes. Paling enak makan dengan   poding telor.  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Menunya indomie goreng dan mie bangladesh mantap. Selain itu juga ada nasi goreng. Setiap hari selalu ramai.  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Tempat yg sering di buru foodlover pecinta Indomie, rasanya enak sih,  pelayanan nya cepat jg gk lama kita nunggu ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
rasanya enak..bawang gorengnya banyak..n pas..ga terlalu pedas juga..pegawai2 nya juga ramah ..overall enak n murah harganya  ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Positif
"
Tempat makan indomie yg mantap..cuma sekarang dah banyak yg lebih enak menurut saya  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
kuliner nya seru.. enak enak makanan nya. pelayanan ramah. mesti mampir ke sini kalau singgah di kota medan.  ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
"
Yang buat mie ribut kali suaranya kencang2..sampe sakit kuping, Pelayanan cepat  ",Aspek tidak ada,Aspek tidak ada,Netral,Aspek tidak ada,Aspek tidak ada
"
Makanan lumayan, Suasananya ajj kurang Banyak tunawisma yang minta2 nya maksa  ",Positif,Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada
"
Just.. Nothing special. Rame karena banyak youtuber2 yang penasaran dtg kesini dan buka 24 jam. Utk ukuran indomie sgitu agak overprice sih.  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Negatif
"
Pelayanan tidak ramah, Indomie Banglades (menu yang paling rekomen) nya ternyata tidak enak. Tempat nya ramai, harga nya murah.Intinya, tidak se enak yang di cerita kan dan dibayangkan.  ",Negatif,Aspek tidak ada,Negatif,Netral,Positif
"
Indomie nya terbaik, cuma sate kerang nya skrng kurang besar ga kyk dulu,  ",Netral,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Indomie Bangladesh ( Becek ) plus puding telur. Kenikmatan hakiki ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Pertama kali nyobain indomie ala warung ini. Dan ternyata emg enak tanpa menghilangkan rasa indomienya.  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
lumayan enak mienya dan murah meriah cm belasan ribu  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Positif
"
Ini cuma Mie instan biasa, tapi bumbunya luar biasa, beneran enak ini mie nya  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
tadi tuh sparing, baku hantam versus rasa penasaran karrna org bilang mie bangladesh wajib cobain!  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Suka bawa teman dari luar kota ke sini.Datang, makan, pulang. Gak didesain untuk ngobrol lamaTapi rasa enaknya bertahan lama di lidah  ",Positif,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada,Aspek tidak ada
"
Warung nya penuh dikerumuni anak muda, bagi Indomie lovers bisa kunjungi tempat ini. Tapi pengamen meraja lela, dan pengemis membuat tempat ini tidak nyaman. Orang mondar mandir, dan rasa Mie nya biasa aja sih. Tapi kok bisa rame?  ",Netral,Aspek tidak ada,Aspek tidak ada,Negatif,Aspek tidak ada
"
Adalah salah satu warumg makan yang nyaman yang terletak di kota medan warung ini buka 24 jam banyak menu yang di tawarkan salah satunya adalah mie banglades mie ini cukup enak dan nyamii dan lagi harganya terjangkau murah meriah loh selain makanan di sini ada juga minuman seperti jus, kopi dan minuman lainnya, ""semoga bermanfaat""  ",Positif,Positif,Aspek tidak ada,Positif,Positif
"
Rame,, padahal menunya cuma indomie doank.. Ada sate kerang, tapi gag sempat nyobain.. Sepertinya enak juga sate kerangnya.. ",Netral,Aspek tidak ada,Aspek tidak ada,Positif,Aspek tidak ada
"
Makanannya enak..variasi jus bnyk..cepat dilayani  ",Positif,Positif,Positif,Aspek tidak ada,Aspek tidak ada
"
Harganya terjangkau, rasanya enak, tempatnya nyaman. Favorit disini mie indomie. Cocok buat nongkrong, kumpul bareng temen. Jadi tempat tongkrongan yang ramah dikantong, gak bikin kantong jebol. Tempatnya lumayan rame didatangi anak muda  ",Positif,Aspek tidak ada,Aspek tidak ada,Positif,Positif
"
Maknyusss rasanyaa..Pelayan ramah, makanan cepet datang walaupun rame  ",Positif,Aspek tidak ada,Positif,Aspek tidak ada,Aspek tidak ada
